# ACTS Test Suite Generation: Fri Nov 05 14:55:51 EDT 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 4
# Maximum number of values per parameter: 4
# Number of configurations: 16
log_prob,prob_merge,nettoyage,vocab
false,false,0,1
true,true,0,2
false,true,0,3
true,false,0,4
true,true,1,1
false,false,1,2
true,false,1,3
false,true,1,4
true,false,2,1
false,true,2,2
false,false,2,3
true,false,2,4
true,false,3,1
false,true,3,2
false,true,3,3
false,true,3,4
